param wells := 10;
param rigs := 5;
param BM := 15000;
param q := 
 1  2
 2  1
 3  3
 4  3
 5  1
;
param: l d p := 
 1    2    22.91     3.69
 2    2    14.05    33.94
 3    2     5.93    80.79
 4    2    23.84    64.41
 5    2    25.30    75.68
 6    2    18.11    49.19
 7    2     6.89     4.95
 8    3     8.36    65.79
 9    2    16.44    48.33
10    1     5.84    31.98
;
param t: 1 2 3 4 5 6 7 8 9 10 :=
 1    30.58    20.12    47.90    30.02    38.25     3.80    16.29     8.13    16.21    39.63 
 2    25.98    13.98    39.53    34.11    13.73    31.34    21.59     5.23    41.90    37.61 
 3    42.45    20.63    26.71    49.01    47.16    20.14     4.30     7.96    30.91    42.46 
 4    41.34    15.66    40.58    24.03     7.17    20.40     4.28    40.54    12.62     1.10 
 5    35.05    23.93    41.72     8.18    17.16    40.35    27.83    21.57    15.83    21.39 
 6    27.17    36.52    43.47    25.27    25.61    35.41    36.52    29.49    32.71    11.70 
 7    22.68    38.96     6.51    42.10    40.46    27.58    26.53    17.57     1.64     8.83 
 8    18.86    20.36    49.23    47.77    49.41     1.12    23.98    40.89    44.15    33.92 
 9     6.09    21.95     1.84    25.83    24.86     7.31    35.95    35.50    41.03    24.64 
10     7.78    11.35    26.18    27.25    10.24    29.31    36.35     6.08    48.18    41.92 
;
param e: 1 2 3 4 5 6 7 8 9 10 :=
 1     2.95     6.24    20.33    22.43    22.35    18.86    27.41     6.95    27.05    23.87 
 2    16.97    29.57    23.23    27.31    14.50    25.83    12.72     9.83    29.32    28.86 
 3    28.88    28.99     1.79    14.15    29.48     3.96    11.30    24.41     5.78    22.27 
 4    17.60    12.51    25.56     1.46    14.12     1.83     6.64     6.00    14.11    11.11 
 5     4.84    10.54    10.92     2.26    19.05    16.91    16.80    12.00    16.71     9.41 
;
